1,ジョージアエメラルドマウンテンブラック,ジョージアエメラルドマウンテンブラック,コーヒー
2,ジョージア香るブラック,ジョージアかおるブラック,コーヒー
3,ジョージア香る微糖,ジョージアかおるびとう,コーヒー
4,ボス無糖ブラック,ボスむとうブラック,コーヒー
5,ボスカフェオレ,ボスカフェオレ,コーヒー
6,ボス贅沢微糖,ボスぜいたくびとう,コーヒー
7,ボスレインボーマウンテンブレンド,ボスレインボーマウンテンブレンド,コーヒー
8,ボスとろけるカフェオレ,ボスとろけるカフェオレ,コーヒー
9,小岩井ミルクとコーヒー,こいわいミルクとコーヒー,コーヒー
10,ドトールカフェオレ,ドトールカフェオレ,コーヒー
11,クラフトボスラテ,クラフトボスラテ,コーヒー
12,クラフトボスブラック,クラフトボスブラック,コーヒー
13,ワンダモーニングショット,ワンダモーニングショット,コーヒー
14,ワンダ金の微糖,ワンダきんのびとう,コーヒー
15,ワンダ極微糖,ワンダきわみびとう,コーヒー
16,ワンダ特製カフェオレ,ワンダとくせいカフェオレ,コーヒー
17,ワンダクリーミーラテ,ワンダクリーミーラテ,コーヒー
18,ダイドーブレンド微糖,ダイドーブレンドびとう,コーヒー
19,ダイドーブレンドラテ,ダイドーブレンドラテ,コーヒー
20,ダイドーブレンドブラック,ダイドーブレンドブラック,コーヒー
21,ダイドーブレンドミルクコーヒー,ダイドーブレンドミルクコーヒー,コーヒー
22,ダイドーブレンドカフェオレ,ダイドーブレンドカフェオレ,コーヒー
23,ダイドーブレンドブラック,ダイドーブレンドブラック,コーヒー
24,ダイドーブレンドアメリカン,ダイドーブレンドアメリカン,コーヒー
25,コカコーラ,コカコーラ,炭酸飲料
26,ペプシコーラ,ペプシコーラ,炭酸飲料
27,カナダドライジンジャーエール,カナダドライジンジャーエール,炭酸飲料
28,ファンタオレンジ,ファンタオレンジ,炭酸飲料
29,ファンタグレープ,ファンタグレープ,炭酸飲料
30,オランジーナ,オランジーナ,炭酸飲料
31,三ツ矢サイダー,みつやサイダー,炭酸飲料
32,キリンレモン,キリンレモン,炭酸飲料
33,リアルゴールド,リアルゴールド,炭酸飲料
34,マッチ,マッチ,炭酸飲料
35,ドデカミン,ドデカミン,炭酸飲料
36,スコール,スコール,炭酸飲料
37,スプライト,スプライト,炭酸飲料
38,三ツ矢サイダーメロン,みつやメロン,炭酸飲料
39,三ツ矢フルーツパンチ,みつやフルーツパンチ,炭酸飲料
40,三ツ矢ピーチ,みつやピーチ,炭酸飲料
41,ウィルキンソン炭酸,ウィルキンソンたんさん,炭酸飲料
42,ウィルキンソンジンジャーエール,ウィルキンソンジンジャーエール,炭酸飲料
43,キレートレモンスパーリング,キレートレモンスパーリング,炭酸飲料
44,ファンタメロン,ファンタメロン,炭酸飲料
45,ファンタピーチ,ファンタピーチ,炭酸飲料
46,ファンタレモン,ファンタレモン,炭酸飲料
47,伊右衛門,いえもん,お茶
48,ウーロン茶,うーろんちゃ,お茶
49,爽健美茶,そうけんびちゃ,お茶
50,生茶,なまちゃ,お茶
51,ヘルシア緑茶,ヘルシアりょくちゃ,お茶
52,おーいお茶,おーいおちゃ,お茶
53,綾鷹,あやたか,お茶
54,ルイボスティー,ルイボスティー,お茶
55,ミネラル麦茶,ミネラルむぎちゃ,お茶
56,ダカラ優しい麦茶,ダカラやさしいむぎちゃ,お茶
57,十六茶,じゅうろくちゃ,お茶
58,胡麻麦茶,ごまむぎちゃ,お茶
59,からだすこやか茶,からだすこやかちゃ,お茶
60,特茶,とくちゃ,お茶
61,からだ巡り茶,からだめぐりちゃ,お茶
62,黒烏龍茶,くろウーロンちゃ,お茶
63,午後の紅茶ミルクティー,ごごのこうちゃミルクティー,紅茶
64,午後の紅茶レモンティー,ごごのこうちゃレモンティー,紅茶
65,午後の紅茶ストレートティー,ごごのこうちゃストレートティー,紅茶
66,紅茶花伝ロイヤルミルクティー,こうちゃかでんロイヤルミルクティー,紅茶
67,紅茶花伝クラフティーレモネード,こうちゃかでんクラフティーレモネード,紅茶
68,紅茶花伝クラフティーピーチティー,こうちゃかでんクラフティーピーチティー,紅茶
69,午後の紅茶リフレッシュティー,ごごのこうちゃリフレッシュティー,紅茶
70,ボスノンシュガーティー,ボスノンシュガーティー,紅茶
71,紅茶花伝クラフティー,こうちゃかでんクラフティー,紅茶
72,アールグレイティー,アールグレイティー,紅茶
73,紅茶花伝リフレッシュオレンジティー,こうちゃかでんリフレッシュオレンジティー,紅茶
74,午後の紅茶エスプレッソティーラテ,ごごのこうちゃエスプレッソティーラテ,紅茶
75,ゴクリグレープフルーツ,ゴクリグレープフルーツ,果汁飲料
76,ソルティライチ,ソルティライチ,果汁飲料
77,小岩井純水ぶどう,こいわいじゅんすいぶどう,果汁飲料
78,なっちゃんオレンジ,なっちゃんオレンジ,果汁飲料
79,なっちゃんグレープ,なっちゃんグレープ,果汁飲料
80,なっちゃんアップル,なっちゃんアップル,果汁飲料
81,エビアン,エビアン,水
82,サントリー天然水,サントリーてんねんすい,水
83,いろはす天然水,いろはすてんねんすい,水
84,ビックル,ビックル,乳酸菌飲料
85,カルピスウォーター,カルピスウォーター,乳酸菌飲料
86,ヤクルト,ヤクルト,乳酸菌飲料
87,アクエリアス,アクエリアス,スポーツ飲料
88,ポカリスエット,ポカリスエット,スポーツ飲料
